File_num,Category,Filter_num,Filter_punches,IOP,AMZ_date,time_sampled_hr,T_O_D,Date_num,In_bt_folder,Punch_num_sample_time_norm
GCxGC_20181221_0455,Sample,310,4,1,2/8/2014 6:00,12,Day,41678.25,1,48
GCxGC_20181221_0644,Sample,311,4,1,2/8/2014 18:00,12,Night,41678.75,1,48
GCxGC_20181221_0832,Sample,312,4,1,2/9/2014 6:00,12,Day,41679.25,1,48
GCxGC_20181221_1021,Sample,313,4,1,2/9/2014 18:00,12,Night,41679.75,1,48
GCxGC_20181221_1209,Sample,314,10,1,2/10/2014 6:00,12,Day,41680.25,1,120
GCxGC_20181221_1424,Sample,315,10,1,2/10/2014 18:00,12,Night,41680.75,1,120
GCxGC_20181221_1613,Sample,316,10,1,2/11/2014 6:00,12,Day,41681.25,1,120
GCxGC_20181221_1801,Sample,318,4,1,2/11/2014 18:00,12,Night,41681.75,1,48
GCxGC_20181221_1950,Sample,319,4,1,2/12/2014 6:00,12,Day,41682.25,1,48
GCxGC_20181221_2138,Sample,320,4,1,2/12/2014 18:00,12,Night,41682.75,1,48
GCxGC_20181221_2326,Sample,321,4,1,2/13/2014 6:00,12,Day,41683.25,1,48
GCxGC_20181222_0114,Sample,322,4,1,2/13/2014 18:00,12,Night,41683.75,1,48
GCxGC_20181222_0302,Sample,323,4,1,2/14/2014 6:00,12,Day,41684.25,1,48
GCxGC_20181222_0450,Sample,324,4,1,2/14/2014 18:00,12,Night,41684.75,1,48
GCxGC_20181128_1435,Sample,326,4,1,2/15/2014 6:00,12,Day,41685.25,1,48
GCxGC_20181128_1708,Sample,327,4,1,2/15/2014 18:00,12,Night,41685.75,1,48
GCxGC_20181128_1901,Sample,328,4,1,2/16/2014 6:00,12,Day,41686.25,1,48
GCxGC_20181128_2052,Sample,329,4,1,2/16/2014 18:00,12,Night,41686.75,1,48
GCxGC_20181128_2244,Sample,374,4,1,3/6/2014 6:00,12,Day,41704.25,1,48
GCxGC_20181129_0035,Sample,376,4,1,3/6/2014 18:00,12,Night,41704.75,1,48
GCxGC_20181129_0226,Sample,377,4,1,3/7/2014 6:00,12,Day,41705.25,1,48
GCxGC_20181129_1142,Sample,378,10,1,3/7/2014 18:00,12,Night,41705.75,1,120
GCxGC_20181129_0609,Sample,379,4,1,3/8/2014 6:00,12,Day,41706.25,1,48
GCxGC_20181129_0801,Sample,380,4,1,3/8/2014 18:00,12,Night,41706.75,1,48
GCxGC_20181129_1334,Sample,381,4,1,3/9/2014 6:00,12,Day,41707.25,1,48
GCxGC_20181129_1556,Sample,382,4,1,3/9/2014 18:00,12,Night,41707.75,1,48
GCxGC_20181129_1751,Sample,383,4,1,3/10/2014 6:00,12,Day,41708.25,1,48
GCxGC_20181129_1943,Sample,384,4,1,3/10/2014 18:00,12,Night,41708.75,1,48
GCxGC_20181129_2134,Sample,385,4,1,3/11/2014 6:00,12,Day,41709.25,1,48
GCxGC_20181130_1809,Sample,389,10,1,3/11/2014 18:00,12,Night,41709.75,1,120
GCxGC_20181130_2001,Sample,390,10,1,3/12/2014 6:00,12,Day,41710.25,1,120
GCxGC_20181130_2153,Sample,391,4,1,3/12/2014 18:00,12,Night,41710.75,1,48
GCxGC_20181130_2345,Sample,392,4,1,3/13/2014 6:00,12,Day,41711.25,1,48
GCxGC_20181201_0136,Sample,393,4,1,3/13/2014 18:00,12,Night,41711.75,1,48
GCxGC_20181202_0046,Sample,394,4,1,3/14/2014 6:00,12,Day,41712.25,1,48
GCxGC_20181202_0239,Sample,395,4,1,3/14/2014 18:00,12,Night,41712.75,1,48
GCxGC_20181202_0430,Sample,396,4,1,3/15/2014 6:00,12,Day,41713.25,1,48
GCxGC_20181202_0621,Sample,397,4,1,3/15/2014 18:00,12,Night,41713.75,1,48
GCxGC_20181202_0811,Sample,398,4,1,3/16/2014 6:00,12,Day,41714.25,1,48
GCxGC_20181202_1221,Sample,399,4,1,3/16/2014 18:00,12,Night,41714.75,1,48
GCxGC_20181202_1412,Sample,400,4,1,3/17/2014 6:00,12,Day,41715.25,1,48
GCxGC_20181202_1753,Sample,402,4,1,3/17/2014 18:00,12,Night,41715.75,1,48
GCxGC_20181202_1602,Sample,401,4,1,3/18/2014 6:00,12,Day,41716.25,1,48
GCxGC_20181202_2134,Sample,406,4,1,3/18/2014 18:00,12,Night,41716.75,1,48
GCxGC_20181202_2325,Sample,407,4,1,3/19/2014 6:00,12,Day,41717.25,1,48
GCxGC_20181203_0115,Sample,408,10,1,3/19/2014 18:00,12,Night,41717.75,1,120
GCxGC_20181203_0306,Sample,409,10,1,3/20/2014 6:00,12,Day,41718.25,1,120
GCxGC_20181203_0456,Sample,410,10,1,3/20/2014 18:00,12,Night,41718.75,1,120
GCxGC_20181203_0647,Sample,356,4,1,2/27/2014 6:00,12,Day,41697.25,1,48
GCxGC_20181203_0837,Sample,357,4,1,2/27/2014 18:00,12,Night,41697.75,1,48
GCxGC_20181203_1027,Sample,358,4,1,2/28/2014 6:00,12,Day,41698.25,1,48
GCxGC_20181203_1444,Sample,359,4,1,2/28/2014 18:00,12,Night,41698.75,1,48
GCxGC_20181203_1638,Sample,360,10,1,3/1/2014 6:00,12,Day,41699.25,1,120
GCxGC_20181203_1829,Sample,361,10,1,3/1/2014 18:00,12,Night,41699.75,1,120
1205_0144,Sample,504,6,2,9/9/2014 2:05,4,NightMorn,41891.09,,24
1205_0335,Sample,505,6,2,9/9/2014 6:00,4,Morn,41891.25,,24
1205_0526,Sample,506,6,2,9/9/2014 9:55,4,Mid,41891.41,,24
1205_0717,Sample,507,2,2,9/9/2014 13:50,4,Afternoon,41891.58,,8
1205_0908,Sample_fileproblem_lookfor,508,2,0,9/9/2014 18:15,4,Evening,41891.76,,8
1205_1100,Sample,509,2,2,9/9/2014 22:10,4,Night,41891.92,,8
1205_1251,Sample,510,2,2,9/10/2014 2:05,4,NightMorn,41892.09,,8
1205_1450,Sample,511,2,2,9/10/2014 6:00,4,Morn,41892.25,,8
1205_1643,Sample,512,2,2,9/10/2014 9:55,4,Mid,41892.41,,8
1205_1834,Sample,513,2,2,9/10/2014 13:50,4,Afternoon,41892.58,,8
1205_2025,Sample,514,6,2,9/10/2014 18:15,4,Evening,41892.76,,24
1205_2216,Sample,515,6,2,9/10/2014 22:10,4,Night,41892.92,,24
1206_0007,Sample,516,2,2,9/11/2014 2:05,4,NightMorn,41893.09,,8
1206_0159,Sample,517,2,2,9/11/2014 6:00,4,Morn,41893.25,,8
1206_1723,Sample,518,2,2,9/11/2014 9:55,4,Mid,41893.41,,8
1206_1917,Sample,519,2,2,9/11/2014 13:50,4,Afternoon,41893.58,,8
1206_2109,Sample,520,2,2,9/11/2014 18:15,4,Evening,41893.76,,8
1206_2300,Sample,521,2,2,9/11/2014 22:10,4,Night,41893.92,,8
1207_0052,Sample,522,2,2,9/12/2014 2:05,4,NightMorn,41894.09,,8
1207_0244,Sample,523,2,2,9/12/2014 6:00,4,Morn,41894.25,,8
1207_0435,Sample,524,2,2,9/12/2014 9:55,4,Mid,41894.41,,8
1207_0627,Sample,526,6,2,9/12/2014 13:50,4,Afternoon,41894.58,,24
1207_1010,Sample,533,2,2,9/11/2014 18:18,4,Evening,41893.76,,8
1207_1202,Sample,534,2,2,9/11/2014 22:10,4,Night,41893.92,,8
1207_1354,Sample,535,2,2,9/12/2014 2:05,4,NightMorn,41894.09,,8
1206_0541,Sample,545,2,2,9/13/2014 18:15,4,Evening,41895.76,,8
1206_0732,Sample,546,2,2,9/13/2014 22:10,4,Night,41895.92,,8
1206_0924,Sample,547,1,2,9/14/2014 2:05,4,NightMorn,41896.09,,4
1206_1115,Sample,548,2,2,9/14/2014 6:00,4,Morn,41896.25,,8
1206_1329,Sample,549,2,2,9/14/2014 9:55,4,Mid,41896.41,,8
1206_0350,Sample,553,1,2,9/15/2014 2:05,4,Afternoon,41897.09,,4
1211_0310,Sample,582,2,2,9/18/2014 18:21,4,Evening,41900.76,,8
1211_0500,Sample_file_compromised,583,2,0,9/18/2014 22:10,4,Night,41900.92,,8
1211_0651,Sample,584,6,2,9/19/2014 2:05,4,NightMorn,41901.09,,24
1211_0842,Sample,585,6,2,9/19/2014 6:00,4,Morn,41901.25,,24
1211_1109,Sample,586,3,2,9/19/2014 9:55,4,Mid,41901.41,,12
1211_1302,Sample,587,3,2,9/19/2014 13:50,4,Afternoon,41901.58,,12
1211_1453,Sample,588,3,2,9/19/2014 18:15,4,Evening,41901.76,,12
1211_1643,Sample,589,3,2,9/19/2014 22:10,4,Night,41901.92,,12
1211_1834,Sample,590,3,2,9/20/2014 2:05,4,NightMorn,41902.09,,12
1212_1328,Sample,591,3,2,9/20/2014 6:00,4,Morn,41902.25,,12
1212_0704,Sample_file_corrupted,592,3,0,9/20/2014 9:55,4,Mid,41902.41,,12
1212_0855,Sample,593,3,2,9/20/2014 13:50,4,Afternoon,41902.58,,12
1212_1046,Sample,594,6,2,9/20/2014 18:15,4,Evening,41902.76,,24
1212_1520,Sample,595,6,2,9/20/2014 22:10,4,Night,41902.92,,24
1212_1711,Sample,596,3,2,9/21/2014 2:05,4,NightMorn,41903.09,,12
1212_1902,Sample,597,3,2,9/21/2014 6:00,4,Morn,41903.25,,12
1212_2052,Sample,598,3,2,9/21/2014 9:55,4,Mid,41903.41,,12
1212_2243,Sample,599,3,2,9/21/2014 13:50,4,Afternoon,41903.58,,12
1213_0034,Sample,601,3,2,9/21/2014 18:15,4,Evening,41903.76,,12
1213_0225,Sample,602,3,2,9/21/2014 22:10,4,Night,41903.92,,12
1213_0415,Sample,603,1,2,9/22/2014 2:05,4,NightMorn,41904.09,,4
1213_0606,Sample,604,1,2,9/22/2014 6:00,4,Morn,41904.25,,4
1213_0757,Sample,605,3,2,9/22/2014 9:55,4,Mid,41904.41,,12
1213_0948,Sample,606,3,2,9/22/2014 13:50,4,Afternoon,41904.58,,12
1213_1139,Sample,607,1,2,9/22/2014 18:15,4,Evening,41904.76,,4
1213_1403,Sample,608,1,2,9/22/2014 22:10,4,Night,41904.92,,4
1213_1612,Sample,609,1,2,9/23/2014 2:05,4,NightMorn,41905.09,,4
1213_1803,Sample,610,3,2,9/23/2014 6:00,4,Morn,41905.25,,12
1213_1954,Sample,611,3,2,9/23/2014 9:55,4,Mid,41905.41,,12
1213_2145,Sample,612,3,2,9/23/2014 13:50,4,Afternoon,41905.58,,12
1213_2337,Sample,613,3,2,9/23/2014 18:15,4,Evening,41905.76,,12
1214_0128,Sample,614,1,2,9/23/2014 22:10,4,Night,41905.92,,4
1215_0249,Sample,615,3,2,9/24/2014 2:05,4,NightMorn,41906.09,,12
1214_0510,Sample,616,3,2,9/24/2014 6:00,4,Morn,41906.25,,12
1214_0701,Sample,617,3,2,9/24/2014 9:55,4,Mid,41906.41,,12
1214_0852,Sample,618,3,2,9/24/2014 13:50,4,Afternoon,41906.58,,12
1214_1043,Sample,619,3,2,9/24/2014 18:15,4,Evening,41906.76,,12
1214_1235,Sample,620,3,2,9/24/2014 22:10,4,Night,41906.92,,12
1214_1444,Sample,621,3,2,9/25/2014 2:05,4,NightMorn,41907.09,,12
1215_1610,Sample,622,3,2,9/25/2014 6:00,4,Morn,41907.25,,12
1214_2306,Sample,623,3,2,9/25/2014 9:55,4,Mid,41907.41,,12
1215_0057,Sample,624,3,2,9/25/2014 13:50,4,Afternoon,41907.58,,12
1215_0823,Sample,632,3,2,9/25/2014 18:15,4,Evening,41907.76,,12
1215_1015,Sample,633,3,2,9/25/2014 22:10,4,Night,41907.92,,12
1215_1206,Sample,634,3,2,9/26/2014 2:05,4,NightMorn,41908.09,,12
1215_1358,Sample,635,3,2,9/26/2014 6:00,4,Morn,41908.25,,12
1215_1803,Sample,636,3,2,9/26/2014 9:55,4,Mid,41908.41,,12
1215_1955,Sample,637,3,2,9/26/2014 13:50,4,Afternoon,41908.58,,12
1215_2146,Sample,638,3,2,9/26/2014 18:15,4,Evening,41908.76,,12
1215_2337,Sample,639,3,2,9/26/2014 22:10,4,Night,41908.92,,12
1216_0129,Sample,640,3,2,9/27/2014 2:05,4,NightMorn,41909.09,,12
1216_0320,Sample,641,3,2,9/27/2014 6:00,4,Morn,41909.25,,12
1216_0512,Sample,642,3,2,9/27/2014 9:55,4,Mid,41909.41,,12
1216_0703,Sample,643,3,2,9/27/2014 13:50,4,Afternoon,41909.58,,12
1216_0940,Sample,644,3,2,9/27/2014 18:15,4,Evening,41909.76,,12
1216_1132,Sample,645,1,2,9/27/2014 22:10,4,Night,41909.92,,4
1216_1322,Sample,646,1,2,9/28/2014 2:05,4,NightMorn,41910.09,,4
1216_1514,Sample,647,3,2,9/28/2014 6:00,4,Morn,41910.25,,12
1216_1705,Sample,648,3,2,9/28/2014 9:55,4,Mid,41910.41,,12
1216_1856,Sample,649,3,2,9/28/2014 13:50,4,Afternoon,41910.58,,12
1216_2047,Sample,650,3,2,9/28/2014 18:15,4,Evening,41910.76,,12
1216_2238,Sample,651,3,2,9/28/2014 22:10,4,Night,41910.92,,12
1217_0030,Sample,652,3,2,9/29/2014 2:05,4,NightMorn,41911.09,,12
1217_0221,Sample,653,3,2,9/29/2014 6:00,4,Morn,41911.25,,12
1217_0412,Sample,654,3,2,9/29/2014 9:55,4,Mid,41911.41,,12
1217_1154,Sample,655,3,2,9/29/2014 13:50,4,Afternoon,41911.58,,12
1217_1423,Sample,656,1,2,9/29/2014 18:15,4,Evening,41911.76,,4
1217_1616,Sample,657,1,2,9/29/2014 22:10,4,Night,41911.92,,4
1217_1807,Sample,658,1,2,9/30/2014 2:05,4,NightMorn,41912.09,,4
1217_1958,Sample,659,1,2,9/30/2014 6:00,4,Morn,41912.25,,4
1217_2150,Sample,660,3,2,9/30/2014 9:55,4,Mid,41912.41,,12
1217_2341,Sample,661,3,2,9/30/2014 13:50,4,Afternoon,41912.58,,12
1218_0133,Sample,662,1,2,9/30/2014 18:15,4,Evening,41912.76,,4
1218_0324,Sample,663,1,2,9/30/2014 22:10,4,Night,41912.92,,4
1218_0515,Sample,664,3,2,10/1/2014 2:05,4,NightMorn,41913.09,,12
1218_0707,Sample,665,3,2,10/1/2014 6:00,4,Morn,41913.25,,12
1218_1104,Sample,666,3,2,10/1/2014 9:55,4,Mid,41913.41,,12
1218_1257,Sample,667,3,2,10/1/2014 13:50,4,Afternoon,41913.58,,12
1218_1450,Sample,668,1,2,10/1/2014 18:15,4,Evening,41913.76,,4
1218_1641,Sample,669,1,2,10/1/2014 22:10,4,Night,41913.92,,4
1219_0735,Sample,713,3,2,10/8/2014 2:05,4,NightMorn,41920.09,,12
1219_0926,Sample,714,3,2,10/8/2014 6:00,4,Morn,41920.25,,12
1219_1116,Sample,715,3,2,10/8/2014 9:55,4,Mid,41920.41,,12
1219_1355,Sample,716,3,2,10/8/2014 13:50,4,Afternoon,41920.58,,12
1219_1547,Sample,717,3,2,10/8/2014 18:15,4,Evening,41920.76,,12
1219_1738,Sample,718,3,2,10/8/2014 22:10,4,Night,41920.92,,12
1219_1929,Sample,719,3,2,10/9/2014 2:05,4,NightMorn,41921.09,,12
1219_2120,Sample,720,3,2,10/9/2014 6:00,4,Morn,41921.25,,12
1219_2312,Sample,721,3,2,10/9/2014 9:55,4,Mid,41921.41,,12
1220_0103,Sample,722,1,2,10/9/2014 13:50,4,Afternoon,41921.58,,4
1220_0445,Sample,730,1,2,10/9/2014 18:15,4,Evening,41921.76,,4
1220_0637,Sample,731,1,2,10/9/2014 22:10,4,Night,41921.92,,4
1220_0828,Sample,732,1,2,10/10/2014 2:05,4,NightMorn,41922.09,,4
1220_1020,Sample,733,3,2,10/10/2014 6:00,4,Morn,41922.25,,12
1220_1211,Sample,734,3,2,10/10/2014 9:55,4,Mid,41922.41,,12
1220_1420,Sample,735,3,2,10/10/2014 13:50,4,Afternoon,41922.58,,12
1220_1612,Sample,736,3,2,10/10/2014 18:15,4,Evening,41922.76,,12
1220_1802,Sample,737,3,2,10/10/2014 22:10,4,Night,41922.92,,12
1220_1951,Sample,738,3,2,10/11/2014 2:05,4,NightMorn,41923.09,,12
1220_2140,Sample,739,3,2,10/11/2014 6:00,4,Morn,41923.25,,12
1220_2329,Sample,740,3,2,10/11/2014 9:55,4,Mid,41923.41,,12
