Compound.Name,LRI_avg_all,Retention.II..sec.,relative_LRI,relative_LRI2,4-methoxy-benzaldehyde,chrysene-d,d-anthraquinone,"d-C10 acid, TMS","d-C15 alcohol, TMS","d-C22 acid, TMS",d-C6diacid,d-cholestane,d-cholesterol,d-pyrene,dC14,dC16,dC18,dC20,dC22,dC24,dC26,dC28,dC30,dC32,dC34,dC36,dibenzanthracene-d,glucose-13C6,methoxyphenol-d3,pentaerythritol-C13,perylene-d
4-methoxy-benzaldehyde,1277.016087,1.540659628,1.101413282,1.822735192,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
chrysene-d,2523.416486,1.312045618,2.176420847,1.552264808,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
d-anthraquinone,2013.483793,1.461141711,1.736609128,1.728658536,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"d-C10 acid, TMS",1465.727409,0.715661246,1.264174862,0.846689895,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"d-C15 alcohol, TMS",1869.290951,0.536745935,1.612244279,0.635017422,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"d-C22 acid, TMS",2647.313812,0.715661246,2.28328102,0.846689895,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
d-C6diacid,1524.375376,0.993973953,1.314758132,1.175958188,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
d-cholestane,2914.50895,0.84487786,2.513734087,0.99956446,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
d-cholesterol,3202.621655,0.8548176,2.762228341,1.011324042,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
d-pyrene,2168.208884,1.252407181,1.870057932,1.481707317,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC14,1400.005224,0.496986977,1.207490152,0.587979095,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC16,1600.000208,0.506926716,1.379983775,0.599738676,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC18,1800.001118,0.516866456,1.552482509,0.611498258,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC20,2000.15429,0.536745935,1.725112568,0.635017422,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC22,2200.316141,0.546685674,1.897750112,0.646777003,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC24,2400.774347,0.566565153,2.07064326,0.670296167,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC26,2600.333589,0.576504893,2.242761059,0.682055749,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC28,2800.260854,0.596384372,2.415196276,0.705574913,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC30,3000.014626,0.616263851,2.587481856,0.729094077,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC32,3199.986876,0.63614333,2.759955871,0.75261324,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC34,3399.982819,0.675902288,2.932450321,0.799651568,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dC36,3599.980239,0.755420205,3.104946046,0.893728224,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
dibenzanthracene-d,3272.935326,1.540659628,2.822873162,1.822735192,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
glucose-13C6,1987.533185,1.242467442,1.714226994,1.469947736,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
methoxyphenol-d3,1256.094608,0.805118902,1.083368721,0.952526132,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
pentaerythritol-C13,1524.663241,0.506926716,1.315006413,0.599738676,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
perylene-d,2960.439825,1.471081451,2.553348996,1.740418119,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
